code,industry_infos,sector_infos,firstone,firstone_1,firstone_2,firstone_3,firstone_4
CRM,Software—Application,Technology,0.28,-0.28,4.68,5.35,4.69
ABT,Medical,Healthcare,24.38,19.81,20.92,11.84,17.85
MCD,Restaurants,Consumer,11.04,16.39,21.5,22.19,15.37
TMO,Diagnostics,Healthcare,22.15,16.58,19.02,18.28,23.37
COST,Discount,Consumer,13.53,12.99,13.24,16.7,12.2
AMGN,Drug,Healthcare,14.76,18.99,18.84,4.64,16.46
BMY,Drug,Healthcare,12.78,23.72,15.46,10.55,20.21
ACN,Information,Technology,16.35,17.91,14.16,15.49,14.41
MDT,Medical,Healthcare,14.86,14.79,13.11,7.63,13.61
NKE,Footwear,Consumer,13.96,13.37,18.74,15.09,14.49
NEE,Utilities—Regulated,Utilities,-4.51,12.04,4.47,2.56,16.66
AVGO,Semiconductors,Technology,25.9,24.72,19.89,18.76,14.93
LLY,Drug,Healthcare,19.03,17.26,11.1,13.9,13.55
UNP,Railroads,Industrials,16.3,17.11,16.73,17.98,13.41
AMT,REIT—Specialty,Real,,,,,
TXN,Semiconductors,Technology,21.92,21.29,19.38,19.24,17.45
C,Banks—Diversified,Financial,42.83,31.53,46.19,61.42,78.78
ORCL,Software—Infrastructure,Technology,23.19,-12.47,24.57,40.33,50.21
PM,Tobacco,Consumer,23.24,20.88,24.19,21.66,24.11
LIN,Specialty,Basic,11.74,10.26,9.79,8.41,9.8
WFC,Banks—Diversified,Financial,36.71,57.5,51.22,60.4,47.42
DHR,Diagnostics,Healthcare,17.25,17.88,11.58,17.85,17.02
IBM,Information,Technology,7.33,23.32,11.3,13.25,9.55
HON,Conglomerates,Industrials,11.34,14.28,12.57,14.3,14.27
BA,Aerospace,Industrials,-12.19,-41.43,-1.09,5.87,-5.37
QCOM,Semiconductors,Technology,29.34,33.99,27.98,20.27,17.62
RTX,Aerospace,Industrials,10.84,6.86,13.93,10.32,7.53
LOW,Home,Consumer,23.25,12.02,18.89,30.07,23.12
GILD,Drug,Healthcare,0.19,3.82,25.92,15.22,17.29
LMT,Aerospace,Industrials,17.33,20.49,6.14,18.15,18.37
SBUX,Restaurants,Consumer,6.75,8.16,17.64,11.53,6.59
MMM,Conglomerates,Industrials,12.99,13.39,14.34,15.24,16.24
FIS,Information,Technology,1.2,2.91,1.58,3.41,-3.73
BLK,Asset,Financial,,,,,
CHTR,Entertainment,Communication,12.03,16.1,12.17,10.2,8.07
CVS,Healthcare,Healthcare,23.12,13.06,15.98,27.83,22.23
SPGI,Financial,Financial,12.35,6.75,7.97,7.98,7.55
MO,Tobacco,Consumer,19.55,16.21,-27.24,21.46,14.21
UPS,Integrated,Industrials,26.62,30.93,23.29,26.76,47.92
NOW,Software—Application,Technology,0.75,0.26,0.63,0.59,0.82
MDLZ,Confectioners,Consumer,8.55,10.03,12.58,10.78,9.61
INTU,Software—Application,Technology,17.94,1.0,2.28,3.8,14.64
CI,Healthcare,Healthcare,11.83,11.16,16.21,14.67,11.61
AXP,Credit,Financial,,,,,
PLD,REIT—Industrial,Real,,,,,
CCI,REIT—Specialty,Real,,,,,
D,Utilities—Regulated,Utilities,7.11,13.41,6.54,2.85,10.08
BKNG,Travel,Consumer,-7.0,6.18,7.69,-1.67,-0.55
BDX,Medical,Healthcare,4.54,6.77,2.65,5.25,2.99
VRTX,Biotechnology,Healthcare,7.62,7.7,8.52,0.66924,6.53
CAT,Farm,Industrials,15.37,21.2,14.26,14.13,15.3
ANTM,Healthcare,Healthcare,18.05,11.37,15.09,17.93,16.65
ISRG,Medical,Healthcare,3.66,3.81,3.81,5.17,4.26
GS,Capital,Financial,39.39,39.35,53.78,54.86,68.36
AMD,Semiconductors,Technology,7.86,9.74,9.23,7.1,5.55
TJX,Apparel,Consumer,5.87,9.4,10.23,7.86,5.34
ADP,Staffing,Industrials,9.29,6.94,7.01,5.38,8.11
ZTS,Drug,Healthcare,5.95,4.14,5.52,5.12,5.59
DUK,Utilities—Regulated,Utilities,8.57,7.46,14.05,7.65,9.92
GE,Specialty,Industrials,-10.25,-35.95,48.54,-0.37,-0.55
CME,Financial,Financial,,,,,
CL,Household,Consumer,5.59,1.48,6.34,7.03,6.81
EQIX,REIT—Specialty,Real,,,,,
SYK,Medical,Healthcare,3.23,6.62,4.38,5.92,3.02
TGT,Discount,Consumer,10.09,15.44,14.88,18.17,20.97
REGN,Biotechnology,Healthcare,9.74,22.29,16.32,30.99,11.15
SO,Utilities—Regulated,Utilities,10.36,-2.11,11.05,3.76,11.39
CB,Insurance—Property,Financial,19.74,21.41,18.33,22.65,23.0
FISV,Information,Technology,6.69,3.33,4.28,2.69,3.04
ATVI,Electronic,Communication,3.95,5.64,6.39,8.76,6.19
MS,Capital,Financial,36.66,36.96,37.07,35.11,41.2
USB,Banks—Regional,Financial,15.5,16.65,20.18,19.72,22.7
MU,Semiconductors,Technology,22.63,23.06,27.2,17.35,6.03
CSX,Railroads,Industrials,8.59,9.34,9.68,11.73,7.06
GPN,Specialty,Industrials,2.45,2.08,2.97,2.64,1.97
MMC,Insurance,Financial,,,,,
TFC,Banks—Regional,Financial,14.15,16.02,17.04,16.57,14.77
AMAT,Semiconductor,Technology,15.36,17.92,17.12,17.16,13.3
APD,Specialty,Basic,5.31,5.6,5.59,5.25,4.73
ICE,Financial,Financial,,,,,
ILMN,Diagnostics,Healthcare,0.86,1.12,3.17,1.85,1.47
ADSK,Software—Application,Technology,1.46,0.891,1.37,1.16,1.56
BIIB,Drug,Healthcare,3.04,3.68,3.29,4.49,4.1
HUM,Healthcare,Healthcare,9.3,-0.14,15.31,5.88,8.28
ECL,Specialty,Basic,1.72,3.01,3.25,3.11,1.94
BSX,Medical,Healthcare,1.11,0.94,4.19,1.86,3.41
PNC,Banks—Regional,Financial,14.02,12.87,14.66,10.86,18.08
NOC,Aerospace,Industrials,9.55,27.1,10.63,10.37,21.95
DE,Farm,Industrials,20.98,9.03,12.83,16.67,17.9
ITW,Specialty,Industrials,6.62,6.09,6.39,7.75,6.71
DG,Discount,Consumer,5.53,5.97,4.87,6.37,6.78
KMB,Household,Consumer,5.23,3.57,4.69,4.04,5.84
COP,Oil,Energy,57.59,26.27,23.79,20.91,9.82
SHW,Specialty,Basic,3.71,3.04,5.02,6.49,4.1
NEM,Gold,Basic,4.48,-0.46,0.03,6.5,5.59
PGR,Insurance—Property,Financial,3.07,9.56,1.12,7.83,14.73
NSC,Railroads,Industrials,7.03,7.6,7.52,8.19,6.72
MCO,Financial,Financial,4.98,4.27,4.74,5.77,7.36
ADI,Semiconductors,Technology,7.83,2.8,0.75687,5.03,4.23
AON,Insurance,Financial,,,,,
EW,Medical,Healthcare,3.74,3.35,3.4,4.9,3.38
BAX,Medical,Healthcare,0.71,2.38,4.5,2.98,2.98
EL,Household,Consumer,5.58,10.88,6.92,10.18,4.56
LRCX,Semiconductor,Technology,10.22,11.95,11.8,11.45,10.71
SCHW,Capital,Financial,,,,,
LHX,Aerospace,Industrials,4.75,4.84,4.81,4.13,4.68
ROP,Specialty,Industrials,3.03,2.32,2.9,2.86,2.89
WM,Waste,Industrials,5.13,5.06,5.38,3.51,4.21
AEP,Utilities—Regulated,Utilities,7.15,5.39,7.96,5.78,5.75
TMUS,Telecom,Communication,7.13,4.22,6.91,9.78,9.33
DD,Specialty,Basic,4.88,2.04,3.91,4.78,53.94
EMR,Specialty,Industrials,6.74,8.96,6.7,6.27,5.61
EXC,Utilities—Diversified,Utilities,5.97,3.91,12.03,4.01,-2.89
EA,Electronic,Communication,2.25,0.66,2.94,2.04,0.76
GIS,Packaged,Consumer,6.6,5.97,6.27,4.17,5.96
DLR,REIT—Office,Real,,,,,
EBAY,Internet,Consumer,-13.41,-12.81,2.64,-18.02,6.41
DXCM,Medical,Healthcare,0.973,-0.194,0.709,0.629,0.403
CNC,Healthcare,Healthcare,8.49,5.99,5.84,-5.35,6.99
GD,Aerospace,Industrials,7.3,9.52,8.6,7.37,7.08
ETN,Specialty,Industrials,5.32,5.51,6.29,5.06,4.58
SRE,Utilities—Diversified,Utilities,6.23,6.15,-6.37,4.45,8.95
GM,Auto,Consumer,29.38,17.41,24.2,28.36,30.22
SBAC,REIT—Specialty,Real,,,,,
PSX,Oil,Energy,5.8,12.71,4.0,2.91,-6.56
XEL,Utilities—Regulated,Utilities,3.8,3.15,6.09,3.11,3.62
COF,Credit,Financial,23.75,24.05,30.78,35.06,33.01
ROST,Apparel,Consumer,3.38,3.67,3.85,4.94,4.76
BK,Asset,Financial,7.73,8.63,9.47,10.21,9.26
FDX,Integrated,Industrials,11.1,10.42,11.1,18.64,8.89
ALL,Insurance—Property,Financial,6.3,11.27,2.91,15.68,25.9
ORLY,Specialty,Consumer,4.82,5.19,5.59,5.85,5.02
DOW,Chemicals,Basic,15.61,17.27,16.75,18.91,9.86
WBA,Pharmaceutical,Healthcare,8.84,35.8,6.26,11.98,10.26
KMI,Oil,Energy,6.63,6.33,4.91,-7.6,14.02
EOG,Oil,Energy,3.9,19.85,10.95,9.07,6.77
CTSH,Information,Technology,5.63,5.76,5.44,5.12,5.05
MET,Insurance—Life,Financial,6.06,11.76,15.21,33.66,2.9
PSA,REIT—Industrial,Real,,,,,
TRV,Insurance—Property,Financial,10.11,13.23,6.57,9.27,7.28
KLAC,Semiconductor,Technology,7.31,7.17,10.68,6.33,5.67
STZ,Beverages—Wineries,Consumer,3.95,4.71,0.015,-9.08,3.83
TROW,Asset,Financial,,,,,
AIG,Insurance—Diversified,Financial,42.53,37.39,16.6,0.91,38.69
APH,Electronic,Technology,4.26,4.65,4.27,3.7,3.3
WEC,Utilities—Regulated,Utilities,5.66,2.25,2.9,2.76,5.1
INFO,null,null,7.37,1.61,1.59,1.49,1.51
SYY,Food,Consumer,3.03,1.67,3.78,1.51,0.88927
YUM,Restaurants,Consumer,3.99,3.3,5.28,3.91,3.26
SNPS,Software—Infrastructure,Technology,2.95,3.14,2.01,1.99,1.95
HCA,Medical,Healthcare,12.73,18.14,22.69,14.5,14.23
MSCI,Financial,Financial,2.28,1.94,1.7,1.65,1.97
ES,Utilities—Regulated,Utilities,4.43,3.07,2.83,2.65,3.66
JCI,Engineering,Industrials,0.11,3.81,2.69,5.74,3.43
AFL,Insurance—Life,Financial,10.32,10.39,8.88,11.05,12.93
VRSK,Consulting,Industrials,5.06,1.42,2.02,1.54,1.69
A,Diagnostics,Healthcare,2.74,2.83,4.42,2.64,2.16
SLB,Oil,Energy,5.1,6.01,5.5,4.31,2.99
TEL,Electronic,Technology,5.6,5.66,7.94,5.8,5.06
AZO,Specialty,Consumer,5.93,4.72,5.55,7.86,5.96
IDXX,Diagnostics,Healthcare,1.94,1.63,1.75,2.03,2.04
TWTR,Internet,Communication,5.13,1.82,-5.37,0.65649,0.68005
MNST,Beverages—Non-Alcoholic,Consumer,2.94,3.21,3.37,4.04,3.15
CMG,Restaurants,Consumer,1.58,1.33,2.04,1.88,1.27
ZBH,Medical,Healthcare,0.142,-0.84,1.46,1.42,1.98
CLX,Household,Consumer,1.5,0.69,1.42,0.97,-0.61
VLO,Oil,Energy,9.02,10.07,4.62,1.6,-7.05
PRU,Insurance—Life,Financial,-0.38,11.92,15.06,21.27,27.84
CMI,Specialty,Industrials,4.18,3.94,5.34,6.0,6.03
KR,Grocery,Consumer,5.61,4.78,4.62,1.39,-0.77
CDNS,Software—Application,Technology,2.35,1.77,1.76,1.56,1.87
PCAR,Farm,Industrials,6.01,5.11,3.78,4.93,4.7
F,Auto,Consumer,-31.1,122.82,18.32,5.61,32.62
IQV,Diagnostics,Healthcare,3.25,3.18,2.61,1.75,2.12
ED,Utilities—Regulated,Utilities,6.02,2.24,5.38,1.65,4.19
PEG,Utilities—Diversified,Utilities,-0.02,4.45,-15.64,-1.77,6.48
HPQ,Computer,Technology,10.0,10.86,30.99,11.08,12.28
MAR,Lodging,Consumer,3.77,4.68,2.2,4.22,-0.11
MPC,Oil,Energy,8.45,7.73,6.94,4.92,-2.42
MCK,Medical,Healthcare,3.68,-0.07,2.67,4.86,6.66
ALXN,null,null,6.36,5.36,5.78,-10.68,5.58
PPG,Specialty,Basic,0.18,2.86,3.44,4.31,3.78
WLTW,null,null,,,,,
ROK,Specialty,Industrials,0.538,2.41,0.785,2.71,4.14
MCHP,Semiconductors,Technology,4.38,3.53,2.42,2.53,1.16
PAYX,Staffing,Industrials,4.31,3.32,3.34,2.63,3.51
PH,Specialty,Industrials,3.48,3.88,4.51,5.06,4.72
MSI,Communication,Technology,2.67,4.01,3.07,2.93,2.44
ANSS,Software—Application,Technology,0.70988,2.03,0.85342,0.93716,0.72398
OTIS,Specialty,Industrials,3.11,2.81,3.31,3.26,3.08
RMD,Medical,Healthcare,1.79,2.02,2.04,1.95,-0.78481
AWK,Utilities—Regulated,Utilities,1.58,6.45,2.78,2.07,1.33
FAST,Industrial,Industrials,2.7,2.31,2.44,2.4,2.11
WMB,Oil,Energy,3.8,6.22,1.65,3.04,4.26
SPG,REIT—Retail,Real,,,,,
TDG,Aerospace,Industrials,1.99,1.17,2.09,3.17,1.04
XLNX,null,null,3.0,2.35,2.06,1.88,1.71
STT,Asset,Financial,6.04,6.96,7.14,7.63,5.19
WELL,REIT—Healthcare,Real,,,,,
AVB,REIT—Residential,Real,,,,,
BLL,Packaging,Consumer,4.46,2.97,1.79,2.02,2.0
FLT,Software—Infrastructure,Technology,2.18,2.25,2.34,1.96,1.84
CTAS,Specialty,Industrials,3.14,2.93,3.29,2.66,2.56
EQR,REIT—Residential,Real,,,,,
ADM,Farm,Consumer,10.54,7.82,5.26,7.12,6.89
FE,Utilities—Regulated,Utilities,2.88,4.27,4.16,0.58,3.35
HLT,Lodging,Consumer,2.12,1.47,2.41,1.3,-1.08
TT,Specialty,Industrials,2.6,3.18,4.06,4.65,2.35
SWKS,Semiconductors,Technology,3.06,4.0,3.26,3.38,3.25
O,REIT—Retail,Real,,,,,
CERN,Health,Healthcare,2.06,1.75,1.76,0.32707,1.72
EIX,Utilities—Regulated,Utilities,1.1,5.45,-3.41,3.18,2.59
VRSN,Software—Infrastructure,Technology,1.58,3.3,1.57,1.48,1.5
DLTR,Discount,Consumer,5.36,4.54,2.17,2.82,3.75
GLW,Electronic,Technology,5.81,4.87,3.71,4.49,5.99
MKC,Packaged,Consumer,1.55,1.97,2.12,1.84,1.62
VFC,Apparel,Consumer,0.80842,5.18,4.64,3.24,0.8952
PPL,Utilities—Regulated,Utilities,2.73,1.34,2.07,-0.19,-1.93
SWK,Tools,Industrials,1.76,3.29,4.15,4.6,4.87
DTE,Utilities—Regulated,Utilities,3.93,3.05,0.25,1.78,3.97
EFX,Consulting,Industrials,2.22,1.22,2.05,2.15,2.02
ARE,REIT—Office,Real,,,,,
CTVA,Agricultural,Basic,5.64,1.59,0.3,9.7,6.0
AME,Specialty,Industrials,2.72,2.82,2.57,2.32,2.19
KHC,Packaged,Consumer,7.76,-2.57,7.33,-0.27,5.63
ETR,Utilities—Regulated,Utilities,2.8,2.45,5.36,-0.01394,3.39
FTNT,Software—Infrastructure,Technology,1.38,1.99,1.63,1.38,1.07
HSY,Confectioners,Consumer,5.33,3.36,4.45,3.01,3.96
APTV,Auto,Consumer,0.89,0.31,1.01,1.63,2.95
LUV,Airlines,Industrials,-2.78,0.68,4.46,3.48,1.16
AMP,Asset,Financial,,,,,
FTV,Scientific,Technology,1.65,1.65,1.51,1.81,1.1
MKTX,Capital,Financial,,,,,
MTD,Diagnostics,Healthcare,1.74,2.31,2.04,1.85,1.5
DHI,Residential,Consumer,14.36,11.42,13.39,11.16,9.3
ALGN,Medical,Healthcare,1.34,1.91,1.81,2.0,2.0
TSN,Farm,Consumer,8.29,11.21,13.55,7.49,4.76
KEYS,Scientific,Technology,2.58,2.29,2.82,2.54,1.86
BBY,Specialty,Consumer,3.41,3.41,6.26,4.99,7.34
FRC,Banks—Regional,Financial,4.01,4.0,3.7,3.73,3.35
CHD,Household,Consumer,2.04,1.58,2.3,2.18,2.21
CARR,Building,Industrials,13.79,3.24,4.69,4.87,3.84
LEN,Residential,Consumer,4.98,11.78,13.9,8.2,9.89
CPRT,Auto,Consumer,2.79,2.87,2.6,2.56,2.87
NTRS,Asset,Financial,3.86,4.03,3.93,3.65,3.71
AEE,Utilities—Regulated,Utilities,2.52,1.25,4.25,2.07,2.33
AJG,Insurance,Financial,,,,,
DAL,Airlines,Industrials,-9.4,-4.08,12.12,6.52,-11.77
LYB,Specialty,Basic,13.18,7.24,17.58,20.53,10.68
RSG,Waste,Industrials,3.52,3.13,3.5,3.31,2.96
DFS,Credit,Financial,12.36,10.62,10.85,16.88,15.85
OXY,Oil,Energy,48.42,15.28,8.23,1.03,-1.46
LVS,Resorts,Consumer,-3.31,-1.23,-3.68,-1.92,-2.78
TFX,Medical,Healthcare,0.77141,1.28,1.99,0.83248,0.74866
CMS,Utilities—Regulated,Utilities,3.48,6.39,1.89,1.76,3.49
AMCR,Packaging,Consumer,2.69,2.25,2.02,2.55,2.67
LH,Diagnostics,Healthcare,4.92,5.53,5.87,4.67,7.7
INCY,Biotechnology,Healthcare,0.37992,5.64,1.82,1.49,0.53535
CTXS,Software—Application,Technology,0.60232,1.03,0.51787,0.62766,0.90048
CDW,Information,Technology,2.5,2.15,2.67,2.74,2.33
WY,REIT—Specialty,Real,,,,,
K,Packaged,Consumer,4.22,4.33,3.07,3.8,3.68
AKAM,Software—Infrastructure,Technology,1.19,1.61,1.79,1.56,1.56
CAG,Packaged,Consumer,2.18,2.76,2.35,3.1,2.81
CBRE,Real,Real,,,,,
ESS,REIT—Residential,Real,,,,,
PXD,Oil,Energy,20.04,7.61,10.42,3.79,-0.7
MXIM,null,null,2.54,2.2,1.84,1.7,2.07
CAH,Medical,Healthcare,-13.91,0.49,2.71,1.16,1.19
ODFL,Trucking,Industrials,3.0,2.79,2.87,2.7,1.99
WST,Medical,Healthcare,1.74,1.48,1.76,1.87,1.51
TTWO,Electronic,Communication,1.11,1.44,0.10297,1.52,2.19
KMX,Auto,Consumer,1.6,2.69,2.85,4.37,2.1
FITB,Banks—Regional,Financial,4.93,6.58,7.03,7.08,6.92
FCX,Copper,Basic,15.22,11.05,13.95,10.79,7.14
PAYC,Software—Application,Technology,0.9193,0.48687,0.30379,0.52278,0.64616
OKE,Oil,Energy,3.91,3.79,3.92,3.42,3.86
DGX,Diagnostics,Healthcare,3.54,3.89,5.03,6.28,4.68
VMC,Building,Basic,0.918,1.38,1.77,1.95,1.61
VTR,REIT—Healthcare,Real,,,,,
HIG,Insurance—Diversified,Financial,4.4,7.24,4.76,9.0,2.44
KSU,null,null,1.87,5.95,1.56,-3.79,1.53
MTB,Banks—Regional,Financial,3.61,4.56,4.93,4.56,4.45
DPZ,Restaurants,Consumer,0.90964,1.56,1.2,1.17,1.18
ABC,Medical,Healthcare,5.48,4.49,4.38,2.92,4.35
TSCO,Specialty,Consumer,1.87,2.21,2.24,3.7,1.81
COO,Medical,Healthcare,1.27,0.953,1.1,6.16,1.18
DOV,Specialty,Industrials,2.26,3.63,2.64,2.65,2.33
ZBRA,Communication,Technology,2.05,1.91,1.99,2.19,2.28
HOLX,Medical,Healthcare,4.56,4.99,3.29,2.68,6.2
BR,Information,Technology,1.77,0.472,0.672,2.6,1.65
PEAK,REIT—Healthcare,Real,,,,,
SYF,Credit,Financial,,,,,
IP,Packaging,Consumer,3.6,1.15,8.64,4.32,3.49
BXP,REIT—Office,Real,,,,,
IFF,Specialty,Basic,2.44,0.89,1.93,0.29,-0.43
EVRG,Utilities—Regulated,Utilities,1.23,0.534,4.49,1.85,1.92
GRMN,Scientific,Technology,2.12,2.86,2.59,3.17,2.2
NDAQ,Financial,Financial,,,,,
MAA,REIT—Residential,Real,,,,,
MAS,Building,Industrials,2.34,1.35,2.19,-0.36,0.88
VIAC,null,null,20.58,5.38,10.36,9.11,8.1
DRE,REIT—Industrial,Real,,,,,
JKHY,Information,Technology,0.84707,0.9567,1.02,0.76862,0.71409
GWW,Industrial,Industrials,3.66,2.81,2.97,2.25,2.38
HPE,Communication,Technology,2.5,5.13,25.53,3.92,2.59
KEY,Banks—Regional,Financial,4.47,6.27,6.43,7.24,6.18
LDOS,Information,Technology,1.75,1.74,2.05,1.69,2.05
HRL,Packaged,Consumer,2.62,2.4,2.82,1.77,2.28
STE,Medical,Healthcare,0.52261,1.44,0.69811,-0.21807,0.88851
ULTA,Specialty,Consumer,3.31,2.89,2.15,2.51,2.3
TIF,null,null,1.19,0.319,-0.646,2.01,0.784
HES,Oil,Energy,4.17,2.65,1.15,-0.73,2.52
QRVO,Semiconductors,Technology,2.12,2.16,3.19,2.86,2.99
FMC,Agricultural,Basic,2.07,1.93,1.58,2.02,1.82
NUE,Steel,Basic,20.87,22.4,21.18,15.0,9.37
EXR,REIT—Industrial,Real,,,,,
EXPD,Integrated,Industrials,3.46,4.53,3.59,3.16,2.87
WDC,Computer,Technology,0.25,5.64,6.1,6.22,1.97
GPC,Specialty,Consumer,2.46,2.56,2.29,1.96,2.18
MLM,Building,Basic,0.214,1.63,2.55,2.26,0.652
ANET,Computer,Technology,2.72,2.39,2.24,1.97,1.8
OMC,Advertising,Communication,1.74,4.16,3.56,3.48,2.88
WAT,Diagnostics,Healthcare,1.6,2.16,1.61,1.67,1.48
ATO,Utilities—Regulated,Utilities,3.25,2.49,0.48695,1.02,2.97
SJM,Packaged,Consumer,2.02,0.696,2.05,1.53,1.46
BF.B,null,null,1.51,2.59,2.36,1.92,1.2
LNT,Utilities—Regulated,Utilities,1.92,0.95,2.59,1.46,1.74
RF,Banks—Regional,Financial,5.48,4.38,6.51,7.9,6.42
STX,Computer,Technology,3.46,5.01,5.26,4.82,3.29
EXPE,Travel,Consumer,-1.22,3.86,3.76,-1.72,-5.78
CFG,Banks—Regional,Financial,4.2,5.3,5.3,6.48,6.11
XYL,Specialty,Industrials,0.82,1.13,1.14,1.13,0.87
NLOK,Software—Infrastructure,Technology,1.2,2.02,3.33,1.81,1.94
HAL,Oil,Energy,2.63,8.24,2.36,2.27,1.7
IEX,Specialty,Industrials,1.4,1.19,1.16,1.02,1.13
CXO,null,null,-0.61,-4.35,-92.77,-4.71,5.54
UDR,REIT—Residential,Real,,,,,
NVR,Residential,Consumer,4.26,3.35,3.32,3.21,2.49
WAB,Railroads,Industrials,1.49,1.89,1.3,1.25,1.12
CBOE,Financial,Financial,,,,,
SIVB,Banks—Regional,Financial,5.15,3.94,3.87,5.15,5.37
J,Engineering,Industrials,0.88816,1.34,0.43144,1.08,-0.04563
PFG,Insurance—Diversified,Financial,3.76,4.72,3.6,3.62,5.17
URI,Rental,Industrials,3.67,4.81,4.09,2.93,2.03
ABMD,Medical,Healthcare,0.60325,0.45752,0.56953,-0.26525,0.56856
ETFC,null,null,,,,,
PKI,Diagnostics,Healthcare,1.77,1.79,1.28,2.46,3.79
CE,Chemicals,Basic,5.02,5.24,5.06,5.38,3.22
IT,Information,Technology,1.73,2.09,1.49,2.71,1.64
IR,Specialty,Industrials,1.04,2.44,1.22,4.82,-0.904
VAR,null,null,0.965,0.766,0.612,0.432,0.882
BKR,Oil,Energy,0.72,2.94,0.08,-0.68,-4.52
CHRW,Integrated,Industrials,2.7,2.3,2.47,1.94,1.73
HBAN,Banks—Regional,Financial,4.6,4.01,3.77,-0.15,5.32
RCL,Travel,Consumer,-11.67,-13.57,-14.25,-13.47,-11.32
FOXA,Broadcasting,Communication,2.83,-0.85,7.01,2.53,5.67
MGM,Resorts,Consumer,-0.27002,1.07,13.43,0.67742,-3.41
JBHT,Integrated,Industrials,2.43,2.42,2.0,1.72,1.47
NTAP,Computer,Technology,2.59,2.52,2.24,2.02,3.34
XRAY,Medical,Healthcare,0.65,1.02,1.03,0.99,1.17
CTL,null,null,3.77,3.14,2.23,3.02,3.71
AVY,Business,Industrials,1.98,1.83,1.64,1.84,2.1
HAS,Leisure,Consumer,0.612,0.822,2.53,-0.229,1.16
ALLE,Security,Industrials,0.93,1.13,1.44,1.19,1.08
LW,Packaged,Consumer,1.07,0.325,0.298,0.655,0.661
AAP,Specialty,Consumer,1.4,0.8167,1.7,1.79,1.86
EMN,Chemicals,Basic,2.35,3.78,3.51,-1.46,2.74
CINF,Insurance—Property,Financial,-2.73,14.7,1.53,7.03,6.2
PKG,Packaging,Consumer,2.52,2.15,2.49,2.06,1.65
DRI,Restaurants,Consumer,2.47,1.93,2.31,3.69,1.29
WU,Credit,Financial,,,,,
CNP,Utilities—Regulated,Utilities,5.31,6.54,2.18,2.51,3.63
PHM,Residential,Consumer,4.51,6.57,4.72,4.99,3.02
RJF,Capital,Financial,,,,,
HST,REIT—Hotel,Real,,,,,
WYNN,Resorts,Consumer,-1.83,-1.77,-1.66,-1.31,-2.81
RE,Insurance—Reinsurance,Financial,2.94,4.25,-0.73468,6.71,3.37
DISH,Entertainment,Communication,4.33,5.52,5.57,6.71,6.3
NI,Utilities—Regulated,Utilities,4.27,1.66,0.632,0.603,2.96
PNW,Utilities—Regulated,Utilities,0.16956,0.27584,3.4,2.16,0.35641
L,Insurance—Property,Financial,3.38,3.43,2.2,7.54,2.61
FBHS,"Furnishings,",Consumer,1.81,1.75,2.02,2.17,1.78
HSIC,Medical,Healthcare,1.81,1.47,1.55,1.56,1.66
AES,Utilities—Diversified,Utilities,1.15,-6.32,3.43,0.24,-1.48
UAL,Airlines,Industrials,-13.77,-6.46,4.73,-4.34,-13.57
